"Ключевое слово";"Результатов в Google";"Слов";"Символов";"Частотность Весь мир";"""!Частотность !Весь !мир""";"Количество найденных доменов в Google по слову";"Средняя позиция в Google";"Позиция в Google avrora-trans.com";"Позиция в Google autotransgarant.com";"Позиция в Google della.ua"
"от москвы до орла";817000;4;17;48764;135;1;24;0;0;24
"определить расстояние между городами";580000;4;36;12343;135;1;1;0;0;1
"выгодно ли иметь свою газель";44;5;28;165;135;1;44;0;44;0
"донецк белгород";8780000;2;15;2412;135;1;36;0;0;36
"допог на перевозку опасных грузов";75400;5;33;6519;135;1;12;0;0;12
"вещество на букву в";370000;4;19;82464;135;1;41;41;0;0
"доставка в казахстан";22600000;3;20;31695;135;1;25;25;0;0
"хайратон афганистан";62300;2;19;381;134;1;16;0;0;16
"прага карта";8000000;2;11;3885;134;1;24;0;0;24
"сколько км до воронежа";398000;4;22;20367;134;1;19;0;0;19
"международные автомобильные перевозки";975000;3;37;5592;134;1;28;28;0;0
"москва казань маршрут";8080000;3;21;2917;134;1;23;0;0;23
"москва саратов на машине";4090000;4;24;2374;134;1;45;0;0;45
"ростов на дону джанкой";2680000;4;22;1740;134;1;27;0;0;27
"расстояние от города";33400000;3;20;619336;133;1;3;0;0;3
"маршрут 480";4130000;2;11;1941;133;1;24;0;0;24
"доставка грузов из турции";443000;4;25;1172;133;1;36;0;36;0
"баку грузия";2750000;2;11;1177;133;1;21;0;0;21
"старое село";3050000;2;11;51184;133;1;45;0;0;45
"перевозочные документы";106000;2;22;11359;133;1;38;0;0;38
"алматы казахстан на карте";19700000;4;25;948;133;1;37;0;0;37
"ружин";1060000;1;5;9652;133;1;35;0;0;35
"габаритный груз";1410000;2;15;3679;132;1;6;6;0;0
"фюрстенвальде";55400;1;13;1069;132;1;41;0;0;41
"миллерово ростов на дону расстояние";178000;5;35;359;132;1;11;0;0;11
"минск москва маршрут";2830000;3;20;1351;132;1;32;0;0;32
"москва минск маршрут";2640000;3;20;1351;132;1;20;0;0;20
"москва брест расстояние на машине";49;5;33;229;132;1;29;0;0;29
"яхни";28100;1;4;645;132;1;17;0;0;17
"навигатор маршрут онлайн";1040000;3;24;27177;132;1;23;0;0;23
"гремяч";28300;1;6;4759;132;1;40;0;0;40
"расстояние от киева до белгорода";49;5;32;477;132;1;31;0;0;31
"маршрут 134";3430000;2;11;3803;131;1;26;0;0;26
"татарстан границы";1250000;2;17;2975;131;1;9;0;0;9
"определить расстояние";22500000;2;21;283446;131;1;1;0;0;1
"курс валют в березниках на сегодня";47000;6;34;260;131;1;27;0;0;27
"расстояние воронеж";5260000;2;18;123492;131;1;6;0;0;6
"карта автодорог";1170000;2;15;20863;130;1;32;0;0;32
"донецк крым расстояние";204000;3;22;514;130;1;8;0;0;8
"герла";261000;1;5;597577;130;1;45;0;0;45
"где прага";49;2;9;3567;130;1;25;0;0;25
"орел краснодар расстояние";501000;3;25;296;130;1;17;0;0;17
"перевозка это";13700000;2;13;1853040;130;1;29;29;0;0
"маршрут 314";1530000;2;11;2117;130;1;32;0;0;32
"некрасова 20";6450000;2;12;3440;130;1;35;0;0;35
"ооо версия";204000000;2;10;2139;130;1;48;0;0;48
"любомль";2900000;1;7;548;130;1;47;0;0;47
"москва минск км";7290000;3;15;1973;129;1;10;0;0;10
"москва пекин расстояние";359000;3;23;811;129;1;5;0;0;5
"сколько километров до самары";356000;4;28;9702;129;1;32;0;0;32
"карта прага";7930000;2;11;3955;129;1;32;0;0;32
"воронеж расстояние";6440000;2;18;126329;129;1;6;0;0;6
"краснодар сочи сколько км";8560000;4;25;1169;128;1;12;0;0;12
"найти маршрут";73000000;2;13;14966;128;1;31;0;0;31
"августов";213000;1;8;1737363;128;1;23;0;0;23
"курс валют на сегодня таганрог";107000;5;30;653;128;1;39;0;0;39
"бяла подляска брест";85500;3;19;1166;128;1;27;0;0;27
"dell поддержка";50;2;14;845;128;1;20;0;0;20
"курс валют таганрог на сегодня";106000;5;30;653;128;1;47;0;0;47
"диспетчера или диспетчеры как правильно";29000;5;39;2012;127;1;34;34;0;0
"расстояние от бреста до москвы";39600;5;30;1032;127;1;6;0;0;6
"махачкала какая область";11900000;3;23;392;127;1;19;0;0;19
"рассчитать путь на машине";814000;4;25;1791;127;1;47;0;0;47
"холми";70400;1;5;949;127;1;23;0;0;23
"расстояние рига москва";790000;3;22;493;127;1;2;0;0;2
"плауэн";124000;1;6;1636;127;1;41;0;0;41
"расчет расстояний между станциями";82100;4;33;1697;127;1;9;0;0;9
"париж версаль";921000;2;13;813;127;1;46;0;0;46
"полянки";747000;1;7;190697;127;1;40;0;0;40
"расстояние донецк крым";212000;3;22;476;126;1;8;0;0;8
"ягодин";514000;1;6;10523;126;1;17;0;0;17
"вюрц";58100;1;4;16060;126;1;21;0;0;21
"анталия алания";857000;2;14;6609;126;1;36;0;0;36
"рига москва расстояние";1040000;3;22;501;126;1;1;0;0;1
"узнать расстояние";27900000;2;17;19238;126;1;2;0;0;2
"расстояние между воронежем и москвой";42400;5;36;597;125;1;8;0;0;8
"расстояние посчитать";787000;2;20;6883;125;1;3;0;0;3
"посчитать расстояние";8650000;2;20;6883;125;1;2;0;0;2
"калькулятор расстояний между городами";187000;4;37;588;125;1;4;0;0;4
"г караганда";23400000;2;11;9024;125;1;26;0;0;26
"простеев";26300;1;8;2720;125;1;29;0;0;29
"аманкарагай";99300;1;11;1876;124;1;16;0;0;16
"грибова";857000;1;7;805232;124;1;44;0;0;44
"крым донецк расстояние";218000;3;22;477;124;1;19;0;0;19
"della грузоперевозки";52;2;20;951;124;1;1;0;0;1
"карты дорог";11100000;2;11;264564;124;1;38;0;0;38
"карта москва воронеж";42300000;3;20;1896;124;1;16;0;0;16
"продолжить маршрут";8240000;2;18;1871;124;1;25;0;0;25
"фура цена";1330000;2;9;7878;124;1;35;0;35;0
"расстояние узнать";37700000;2;17;19055;123;1;4;0;0;4
"баштанка";1650000;1;8;805;123;1;35;0;0;35
"расстояние онлайн рассчитать";1530000;3;28;2466;123;1;26;0;0;26
"молдова кагул";845000;2;13;1266;123;1;31;0;0;31
"11 маршрут донецк";476000;3;17;452;123;1;37;0;0;37
"бехи";178000;1;4;22886;123;1;26;0;0;26
"курс валют на сегодня астана";1630000;5;28;5254;123;1;42;0;0;42
"рассчитать расстояние онлайн";1620000;3;28;2466;123;1;4;0;0;4
"как правильно диспетчеры или диспетчера";33600;5;39;1965;122;1;48;48;0;0
"капуста вход личный кабинет по номеру телефона без пароля";147000;9;57;525;122;1;39;0;0;39
"сортавала санкт петербург расстояние";145000;4;36;434;122;1;25;0;0;25
"астрахань казахстан";10100000;2;19;2851;122;1;25;0;0;25
"киев варшава";13800000;2;12;5745;122;1;40;0;0;40
"купить самосвал б у";2680000;4;19;16468;122;1;49;0;0;49
"москва воронеж расстояние в км на машине";1070000;7;40;234;122;1;32;0;0;32
"тернова";253000;1;7;62445;122;1;34;0;0;34
"купить б у самосвал";2960000;4;19;16468;122;1;48;0;0;48
"викса";59600;1;5;40789;122;1;27;0;0;27
"анапа какая область";11200000;3;19;354;122;1;42;0;0;42
"райки";293000;1;5;35825;122;1;21;0;0;21
"вавилово";126000;1;8;3485;121;1;38;0;0;38
"поиск транспорта";24600000;2;16;7385;121;1;7;0;0;7
"гомель житковичи";2110000;2;16;1207;121;1;19;0;0;19
"ларино";154000;1;6;4974;120;1;30;0;0;30
"сколько километров от харькова до москвы";78700;6;40;209;120;1;25;0;0;25
"стамбул порт";1490000;2;12;1984;120;1;27;0;0;27
"штраф за негабаритный груз";15400;4;26;964;120;1;3;3;0;0
"райгород";185000;1;8;4556;120;1;22;0;0;22
"международные перевозки грузов автомобильным транспортом";493000;5;56;931;120;1;30;30;0;0
"варшава киев";7210000;2;12;5594;119;1;39;0;0;39
"брани";6780000;1;5;66881;119;1;41;0;0;41
"классы грузов";806000;2;13;35315;119;1;11;11;0;0
"посчитать расстояние на карте";1840000;4;29;1261;119;1;17;0;0;17
"маршрут построить на карте на машине";1270000;6;36;9324;119;1;23;0;0;23
"сколько км до краснодара";736000;4;24;23563;119;1;43;0;0;43
"сколько километров до воронежа";306000;4;30;11645;119;1;20;0;0;20
"номер оон для опасных грузов";274000;5;28;755;119;1;28;28;0;0
"ухта какая область";4120000;3;18;458;118;1;33;0;0;33
"dell com официальный сайт";720000;4;25;191;118;1;21;0;0;21
"мангуш на карте";43400;3;15;597;118;1;31;0;0;31
"курс франков";579000;2;12;30137;118;1;49;0;0;49
"тараса";11200000;1;6;921204;118;1;30;0;0;30
"кочеток";186000;1;7;48396;118;1;37;0;0;37
"равенсбург";150000;1;10;813;117;1;45;0;0;45
"работа на самосвал";2020000;3;18;67022;117;1;42;0;0;42
"залиман";64800;1;7;2531;117;1;29;0;0;29
"брест москва расстояние на машине";146000;5;33;218;117;1;25;0;0;25
"карты маршруты";23200000;2;14;648834;117;1;26;0;0;26
"стеклобанка";89900;1;11;3073;117;1;49;0;0;49
"расстояние от белгорода до ростова";20300;5;34;1511;117;1;38;0;0;38
"расстояние от москвы до";10600000;4;23;577609;117;1;9;0;0;9
"половина восьмого";378000;2;17;2764;117;1;34;0;0;34
"биржа грузов";499000;2;12;1019;117;1;16;0;0;16
"ирак иран карта";2960000;3;15;2590;116;1;8;0;0;8
"автокарта";160000;1;9;3049;116;1;43;0;0;43
"хелмно";1160000;1;6;341;116;1;40;0;0;40
"волноваха донецк";959000;2;16;1727;116;1;19;0;0;19
"москва спб расстояние на машине";957000;5;31;221;116;1;28;0;0;28
"север юг на карте";1800000;4;17;15505;116;1;41;0;0;41
"баграташен";98000;1;10;806;116;1;9;0;0;9
"босния и герцеговина карта";2380000;4;26;2464;116;1;35;0;0;35
"маршрут 217";2130000;2;11;1805;116;1;40;0;0;40
"олх узбекистан скачать";22900;3;22;368;116;1;37;0;0;37
"россия калуга";18300000;2;13;42569;116;1;8;0;0;8
"сколько км до владивостока";1080000;4;26;8779;116;1;15;0;0;15
"услуги по переезду";1210000;3;18;3924;116;1;20;20;0;0
"148 маршрут";2790000;2;11;2726;115;1;29;0;0;29
"расчет маршрута на автомобиле между городами";2000000;6;44;738;115;1;24;0;0;24
"мирноград донецкая";2290000;2;18;2451;115;1;37;0;0;37
"краснодар таганрог расстояние на машине";199000;5;39;191;115;1;46;0;0;46
"курс доллара на сегодня старый оскол";188000;6;36;1046;115;1;42;0;0;42
"рефрижераторные перевозки";342000;2;25;1197;115;1;4;4;0;0
"донецк волноваха";1170000;2;16;1725;115;1;27;0;0;27
"международный переезд";1430000;2;21;434;115;1;5;5;0;0
"тива";881000;1;4;9288;115;1;31;0;0;31
"транс доставка";9550000;2;14;1589;115;1;22;22;0;0
"саратов от москвы";18500000;3;17;118807;114;1;7;0;0;7
"сколько до краснодара километров";1500000;4;32;14845;114;1;37;0;0;37
"мариуполь волноваха";1210000;2;19;1642;114;1;31;0;0;31
"маяк ялта";724000;2;9;940;114;1;27;0;0;27
"217 маршрут";2420000;2;11;1782;113;1;31;0;0;31
"сузак";2980000;1;5;7242;113;1;9;0;0;9
"маршрут 149";3320000;2;11;2913;113;1;37;0;0;37
"услуги переезда";4730000;2;15;3924;113;1;25;25;0;0
"калькулятор расстояния между городами";373000;4;37;588;113;1;4;0;0;4
"маршрут 264";1950000;2;11;4086;113;1;21;0;0;21
"чехия пльзень";938000;2;13;382;113;1;24;0;0;24
"калуга россия";20400000;2;13;42776;112;1;11;0;0;11
"грузи ру";38000;2;8;708;112;1;26;0;0;26
"костромка";78200;1;9;1207;112;1;14;0;0;14
"табличка опасный груз";98000;3;21;1937;112;1;29;29;0;0
"трехизбенка луганская область на карте";5110;5;38;211;112;1;17;0;0;17
"частник это";812000;2;11;88129;112;1;35;0;0;35
"верин";529000;1;5;16974;112;1;37;0;0;37
"сочи адлер расстояние в км";725000;5;26;503;112;1;19;0;0;19
"чонгар граница";14400;2;14;961;111;1;44;0;0;44
"автомобильный путь";54300000;2;18;5041;111;1;1;0;0;1
"лемеши";37300;1;6;3875;111;1;19;0;0;19
"как вызвать грузовое такси";110000;4;26;913;111;1;37;37;0;0
"правила перевозок опасных грузов";473000;4;32;5793;111;1;23;0;0;23
"калмыкия на карте россии границы";248000;5;32;211;111;1;19;0;0;19
"маршруты карты";77400000;2;14;643390;110;1;21;0;0;21
"курс валют варшава";390000;3;18;1112;110;1;36;0;0;36
"маршрут париж дакар";182000;3;19;322;110;1;2;0;0;2
"найти про";919000000;2;9;126767;110;1;44;0;0;44
"расстояние адлер сочи в км";694000;5;26;510;110;1;31;0;0;31
"расстояние до воронежа";360000;3;22;123492;110;1;5;0;0;5
"рассчитать км";9960000;2;13;21063;110;1;2;0;0;2
"бронники";45900;1;8;24083;110;1;8;0;0;8
"симферополь бахчисарай расстояние";208000;3;33;270;109;1;37;0;0;37
"донецк москва расстояние в км";708000;5;29;379;109;1;23;0;0;23
"делла кз грузоперевозки по казахстану";42;5;37;330;109;1;7;0;0;7
"рим ватикан";1240000;2;11;1470;109;1;26;0;0;26
"севастополь маршрут";3840000;2;19;26384;108;1;19;0;0;19
"донецк успенка";582000;2;14;1409;108;1;23;0;0;23
"автомобильная карта";17900000;2;19;30714;108;1;12;0;0;12
"сколько километров от города";13900000;4;28;42315;108;1;14;0;0;14
"доставка грузов из европы";1610000;4;25;760;108;1;20;20;0;0
"сколько км от бреста до минска";49400;6;30;258;108;1;47;0;0;47
"пришиб";517000;1;6;6925;108;1;28;0;0;28
"зеленоград сколько км от москвы";684000;5;31;395;108;1;30;0;0;30
"амбарли порт";2070;2;12;389;108;1;20;0;0;20
"расстояние от владивостока до артема";13000;5;36;761;108;1;47;0;0;47
"услуги транспортной компании";12200000;3;28;3268;108;1;33;33;0;0
"кедайняй";204000;1;8;1006;107;1;52;0;0;52
"чернявка";162000;1;8;1156;107;1;13;0;0;13
"знак негабаритный груз купить";39500;4;29;275;107;1;36;36;0;0
"анталья аланья расстояние";61100;3;25;252;107;1;13;0;0;13
"скачать как дела";39300000;3;16;162741;107;1;53;0;0;53
"негабаритный";996000;1;12;52415;107;1;3;3;0;0
"курс барановичи";320000;2;15;27613;107;1;11;0;0;11
"париж дакар маршрут";114000;3;19;318;107;1;5;0;0;5
"берлин париж расстояние";1720000;3;23;419;107;1;6;0;0;6
"шевченко донецк";1380000;2;15;9264;107;1;19;0;0;19
"рашин";136000;1;5;3937;106;1;21;0;0;21
"ищу груз";1530000;2;8;7628;106;1;2;0;0;2
"ржев москва расстояние на машине";122000;5;32;281;106;1;36;0;0;36
"карты проложить маршрут";4980000;3;23;57956;106;1;40;0;0;40
"одесса саратов";3450000;2;14;991;106;1;12;0;0;12
"запорожье орехов";1120000;2;16;1051;106;1;37;0;0;37
"венло";271000;1;5;2624;106;1;41;0;0;41
"делла расчет расстояний между городами россии";9;6;45;108;106;1;1;0;0;1
"саратов расстояние";4990000;2;18;82885;106;1;6;0;0;6
"допог том 1";257000;3;11;1727;106;1;30;0;0;30
"допог 1 том";282000;3;11;1727;106;1;27;0;0;27
"башенный кран цена";313000;3;18;1195;105;1;34;34;0;0
"машины олх";2080000;2;10;3463;105;1;34;0;0;34
"алитус литва";392000;2;12;438;105;1;16;0;0;16
"сколько км от донецка до авдеевки";16900;6;33;237;105;1;46;0;0;46
"чита кемерово";18200000;2;13;1361;105;1;35;0;0;35
"туда москва";50100000;2;11;86571;105;1;12;0;0;12
"сколько км от авдеевки до донецка";20000;6;33;237;105;1;23;0;0;23
"расстояние ростов майкоп";659000;3;24;582;105;1;23;0;0;23
"расстояние берлин париж";977000;3;23;402;105;1;8;0;0;8
"тонна километр расчет калькулятор";108000;4;33;207;105;1;16;0;0;16
"париж берлин расстояние";1120000;3;23;402;105;1;9;0;0;9
"от москвы до зеленограда";355000;4;24;89327;104;1;37;0;0;37
"расстояние от донецка до крыма";49000;5;30;476;104;1;26;0;0;26
"расстояние до питера";528000;3;20;50913;104;1;3;0;0;3
"расстояние воронеж киев";319000;3;23;280;104;1;8;0;0;8
"казань расстояние от москвы";911000;4;27;11424;104;1;30;0;0;30
"купить знак негабаритный груз";45500;4;29;276;104;1;23;23;0;0
"чертково на карте";189000;3;17;1051;104;1;34;0;0;34
"дюсельдорфа";27000;1;11;183;104;1;17;0;0;17
"курдистан карта";96500;2;15;1619;104;1;14;0;0;14
"екатеринбург москва км";20000000;3;22;3457;104;1;20;0;0;20
"расстояние от луганска до белгорода";2810;5;35;691;103;1;16;0;0;16
"расстояние от белгорода до луганска";3020;5;35;691;103;1;16;0;0;16
"олх машины";3190000;2;10;3475;103;1;35;0;0;35
"расстояние ржев москва на машине";117000;5;32;272;103;1;49;0;0;49
"сухая балка";511000;2;11;3580;103;1;44;0;0;44
"ивано франковск на карте украины";3250000;5;32;213;103;1;48;0;0;48
"змиевка херсонская область";12000;3;26;221;103;1;50;0;0;50
"москва севастополь расстояние на машине";517000;5;39;238;103;1;42;0;0;42
"переезд из города в город перевоз вещей стоимость";1020000;8;49;110;103;1;44;44;0;0
"компании грузоперевозок";11500000;2;23;10224;103;1;19;19;0;0
"капошвар";119000;1;8;7278;103;1;34;0;0;34
"тараз алматы";13000000;2;12;1993;103;1;30;0;0;30
"сколько ехать до тюмени";262000;4;23;12625;103;1;28;0;0;28
"маршрут 244";2120000;2;11;2004;103;1;37;0;0;37
"карабанова";358000;1;10;68311;102;1;25;0;0;25
"молодечно на карте";824000;3;18;2907;102;1;19;0;0;19
"днепр запорожье расстояние";873000;3;26;252;102;1;44;0;0;44
"такси десятка";1350000;2;13;1994;102;1;40;40;0;0
"сколько ехать до саратова";143000;4;25;10890;102;1;37;0;0;37
"271 маршрут белгород";49500;3;20;258;102;1;17;0;0;17
"разрешение на перевозку негабаритных грузов автотранспортом";50300;6;59;214;102;1;3;0;0;3
"рассчитать дорогу на машине";273000;4;27;741;102;1;38;0;0;38
"турек";1650000;1;5;27189;102;1;22;0;0;22
"отправка груза транспортной компанией";1470000;4;37;1080;101;1;29;29;0;0
"курган краснодар расстояние";586000;3;27;248;101;1;17;0;0;17
"донецк днепр расстояние";155000;3;23;305;101;1;14;0;0;14
"132 маршрут";3960000;2;11;4409;101;1;31;0;0;31
"определить расстояние между городами по автодорогам";424000;6;51;119;101;1;1;0;0;1
"ростов на дону калуга";29100000;4;21;1035;101;1;34;0;0;34
"расстояние между городами на карте";2680000;5;34;28074;101;1;1;0;0;1
"рассчитать расстояние между жд станциями";10700;5;40;164;101;1;6;0;0;6
"граница молдавии";194000;2;16;6012;101;1;43;0;0;43
"днепр донецк расстояние";160000;3;23;305;101;1;13;0;0;13
"город аврора";4860000;2;12;4090;101;1;47;47;0;0
"переезд перевозка";5030000;2;17;2710;101;1;32;32;0;0
"гуанчжоу порт";599000;2;13;828;101;1;26;0;0;26
"перевозка переезд";5490000;2;17;2710;101;1;24;24;0;0
"успенка донецк";472000;2;14;1335;100;1;25;0;0;25
"бугас";70300;1;5;1529;100;1;25;0;0;25
"расстояние между городами москва санкт петербург";740000;6;48;1235;100;1;12;0;0;12
"москва санкт петербург расстояние в км на машине";3910000;8;48;1081;100;1;20;0;0;20
"рассчитать дорогу";914000;2;17;9458;100;1;1;0;0;1
"знак не шуметь";287000;3;14;5895;100;1;43;43;0;0
"бенедетто";450000;1;9;3078;100;1;47;0;0;47
"баутцен";167000;1;7;729;100;1;34;0;0;34
"мюнхен карта";3870000;2;12;1744;100;1;22;0;0;22
"добеле";344000;1;6;2511;100;1;48;0;0;48
"курс валют анапа";168000;3;16;2215;100;1;49;0;0;49
"литва польша";21500000;2;12;18603;100;1;21;0;0;21
"г баку";22700000;2;6;14842;99;1;42;0;0;42
"курс доллара таганрог на сегодня";253000;5;32;1872;99;1;43;0;0;43
"ягодина";361000;1;7;10844;99;1;14;0;0;14
"маршрут 169";3200000;2;11;4165;99;1;30;0;0;30
"москва углич расстояние на машине";50;5;33;199;98;1;38;0;0;38
"великий житин";83700;2;13;111;98;1;17;0;0;17
"петергоф санкт петербург расстояние";193000;4;35;313;98;1;5;0;0;5
"аврора город";5080000;2;12;4097;98;1;44;44;0;0
"не шуметь знак";285000;3;14;5507;98;1;34;34;0;0
"нальчик область";10200000;2;15;1171;98;1;20;0;0;20
"найти транспорт";78000000;2;15;9978;98;1;6;0;0;6
"дороги карта";214000000;2;12;267171;98;1;33;0;0;33
"растояние или расстояние между городами на карте";7410000;7;48;253;98;1;2;0;0;2
"ганджоу";2960000;1;7;231;98;1;44;0;0;44
"швейцария германия";25100000;2;18;8536;98;1;32;0;0;32
"судак феодосия расстояние";236000;3;25;320;97;1;31;0;0;31
"вена карта";4200000;2;10;4091;97;1;38;0;0;38
"вакансии диспетчер логист";50;3;25;712;97;1;34;0;0;34
"шопрон";171000;1;6;724;97;1;49;0;0;49
"кишинев одесса расстояние";120000;3;25;235;97;1;6;0;0;6
"грузоперевозки жд";4260000;2;17;1596;97;1;21;0;21;0
"транспортные компания";15800000;2;21;855698;97;1;33;33;0;0
"расстояние между москвой и екатеринбургом";71400;5;41;369;97;1;35;0;0;35
"польша литва";19300000;2;12;18295;97;1;22;0;0;22
"жд грузоперевозки";2010000;2;17;1596;97;1;20;0;20;0
"знак негабарит";30000;2;14;580;97;1;5;5;0;0
"г балабаново";3540000;2;12;3712;97;1;27;0;0;27
"промышленный это";13200000;2;16;2245978;96;1;40;40;0;0
"г душанбе";10900000;2;9;6238;96;1;47;0;0;47
"della kz по казахстану";473000;4;22;179;96;1;6;0;0;6
"карта люксембурга";49;2;17;7417;96;1;48;0;0;48
"карта дороги";30800000;2;12;264754;96;1;6;0;0;6
"москва киев расстояние в км";2900000;5;27;510;96;1;13;0;0;13
"кастельон де ла плана";230000;4;21;260;96;1;52;0;0;52
"что такое негабаритный груз";339000;4;27;33915;96;1;2;2;0;0
"порт гуанчжоу";665000;2;13;817;96;1;30;0;0;30
"расстояние от киева до гомеля";13800;5;29;386;96;1;27;0;0;27
"расстояние от москвы до саратова на машине";1200000;7;42;1034;96;1;33;0;0;33
"раст сайт";657000;2;9;5139;96;1;46;0;0;46
"расстояние от гомеля до киева";14200;5;29;386;96;1;23;0;0;23
"della перевозки";743000;2;15;144;96;1;1;0;0;1
"писаревка украина";676000;2;17;349;95;1;38;0;0;38
"владивосток расстояние";5490000;2;22;81317;95;1;6;0;0;6
"гамб";46500;1;4;4531;95;1;34;0;0;34
"расчет расстояния по карте";2120000;4;26;1915;95;1;7;0;0;7
"della ru";57500000;2;8;411;95;1;4;0;0;4
"ульдум";24700;1;6;785;95;1;17;0;0;17
"замер расстояния по карте";133000;4;25;572;95;1;35;0;0;35
"бавария карта";2440000;2;13;1753;94;1;27;0;0;27
"dello";917000000;1;5;5458;94;1;19;0;0;19
"сватове";1240000;1;7;182201;94;1;52;0;0;52
"расстояние до нижнего новгорода";439000;4;31;102363;94;1;26;0;0;26
"питер москва маршрут";955000;3;20;997;94;1;14;0;0;14
"украина германия";42800000;2;16;33033;94;1;39;0;0;39
"рукла";12000;1;5;486;94;1;16;0;0;16
"петухово курган расстояние";101000;3;26;228;94;1;19;0;0;19
"автотревел ру";1340;2;13;259;93;1;13;0;0;13
"найти загрузки";25600000;2;14;23406;93;1;32;0;0;32
"переезды грузоперевозки";4740000;2;23;1856;93;1;12;12;0;0
"курс доллара в кирове сегодня";34600;5;29;3419;93;1;43;0;0;43
"расстояние до челябинска";452000;3;24;111756;93;1;32;0;0;32
"расстояние до краснодара";639000;3;24;158426;93;1;19;0;0;19
"расстояние от киева до одессы";136000;5;29;444;93;1;33;0;0;33
"рассчитать жд тариф";67100;3;19;367;93;1;35;0;35;0
"фурмановка одесская область";10500;3;27;94;93;1;42;0;0;42
"грузовая машина заказать";341000;3;24;1585;93;1;44;0;44;0
"транспорт индия";1050000000;2;15;1590;93;1;20;0;0;20
"карта маршруты";104000000;2;14;648854;93;1;15;0;0;15
"санкт петербург ростов расстояние";4330000;4;33;1301;92;1;9;0;0;9
"дорога карта";134000000;2;12;267173;92;1;24;0;0;24
"грузоперевозки беларусь";2270000;2;23;2849;92;1;7;0;7;0
"расстояние до америки от москвы";816000;5;31;437;92;1;28;0;0;28
"нижний новгород курск расстояние на машине";462000;6;42;135;92;1;47;0;0;47
"херсон мелитополь расстояние";320000;3;28;277;92;1;13;0;0;13
"ростов санкт петербург расстояние";4700000;4;33;1301;92;1;6;0;0;6
"г унеча";3200000;2;7;4749;92;1;25;0;0;25
"карта дорога";66700000;2;12;264756;91;1;7;0;0;7
"комрат молдова";1070000;2;14;908;91;1;24;0;0;24
"расчет пути";14500000;2;11;106499;91;1;1;0;0;1
"ib delo ru личный кабинет";9180000;5;25;105;91;1;26;0;0;26
"533 маршрутка";950000;2;13;981;91;1;46;0;0;46
"москва рязань расстояние в км";754000;5;29;983;91;1;14;0;0;14
"guangzhou китай";89300000;2;15;375;91;1;12;0;0;12
"амерсфорт";234000;1;9;356;91;1;36;0;0;36
"сколько километров до санкт петербурга";844000;5;38;10026;91;1;10;0;0;10
"сколько километров от воронежа до ростова";37100;6;41;290;91;1;18;0;0;18
"брест кобрин расстояние";153000;3;23;174;91;1;4;0;0;4
"новый завод";53;2;11;73088;91;1;16;0;0;16
"что относится к опасным грузам";23300;5;30;4622;91;1;4;4;0;0
"германия швейцария";25400000;2;18;7630;91;1;43;0;0;43
"менен";9440000;1;5;58006;91;1;40;0;0;40
"смоленск рудня расстояние";98900;3;25;216;90;1;32;0;0;32
"перечень опасных грузов";877000;3;23;983;90;1;23;23;0;0
"5 тонник машина";251000;3;15;506;90;1;43;0;43;0
"тишкова";329000;1;7;35285;90;1;19;0;0;19
"калькулятор расстояние";4980000;2;22;13954;90;1;7;0;0;7
"мои заявки";9090000;2;10;1572005;90;1;7;0;0;7
"проложи маршрут";8240000;2;15;246637;90;1;25;0;0;25
"расстояние между адресами";317000;3;25;1933;90;1;11;0;0;11
"расстояние киров";2260000;2;16;65696;90;1;7;0;0;7
"жд доставка";11000000;2;11;6865;90;1;19;0;19;0
"услуги по перевозке грузов";2420000;4;26;11203;90;1;17;17;0;0
"дворище";331000;1;7;5047;90;1;16;0;0;16
"запорожье киев расстояние";1380000;3;25;290;90;1;5;0;0;5
"молдова комрат";1200000;2;14;915;90;1;27;0;0;27
"ростов расстояние";8220000;2;17;214364;90;1;4;0;0;4
"маршрут на машине от и до на карте построить";6450000;9;44;9324;90;1;27;0;0;27
"как заказать грузовое такси";443000;4;27;4848;90;1;35;35;0;0
"маршруты карта";76200000;2;14;643408;90;1;10;0;0;10
"грузоперевозки россия";6730000;2;21;28998;89;1;14;0;14;0
"журавки";66000;1;7;22104;89;1;42;0;0;42
"жанажол";175000;1;7;1100;89;1;3;0;0;3
"выстроить маршрут на карте";5350000;4;26;363;89;1;38;0;0;38
"г кубинка";13300000;2;9;3099;89;1;49;0;0;49
"франкфурт на карте";696000;3;18;1536;89;1;49;0;0;49
"каср";223000;1;4;4103;89;1;33;0;0;33
"офисные переезды";6740000;2;16;2813;89;1;12;12;0;0
"райгородок";201000;1;10;2608;89;1;40;0;0;40
"дружба москва";14600000;2;13;12596;89;1;31;0;0;31
"москва воронеж расстояние по трассе";480000;5;35;500;88;1;26;0;0;26
"русское пл";485000;2;10;4660;88;1;28;0;0;28
"аэродром шайковка на карте";5880;4;26;350;88;1;39;0;0;39
"воркута область";3610000;2;15;959;88;1;28;0;0;28
"маршрут на авто проложить";4190000;4;25;1195;88;1;5;0;0;5
"границы татарстана";400000;2;18;2998;88;1;12;0;0;12
"delly";5810000;1;5;2007;88;1;34;0;0;34
"какое расстояние от москвы до санкт петербурга в км";27000000;9;51;1420;88;1;13;0;0;13
"готня";42700;1;5;5135;88;1;10;0;0;10
"женева москва";2050000;2;13;1474;88;1;28;0;0;28
"расстояние до волгограда";331000;3;24;105209;88;1;8;0;0;8
